Elective_IAT,Elective_LOS,Cancelled_Ops,Cancelled_Ops_Std,Bed_Occupancy,Bed_Occupancy_Std,Bed_Utilization,Bed_Utilization_Std,Wait_Time,Wait_Time_Std,Patient_Count,Patient_Count_Std
30,53.202,157.84,45.48575017945461,20.913537351620167,0.888369867488474,0.8713973896508403,0.037015411145353096,38.99141169871882,30.90172872416146,1432.56,36.23740315965125
30,59.202,160.54,44.6063096113415,20.98689527747078,0.8609059833107915,0.8744539698946159,0.03587108263794964,39.43535076091701,30.97415022029782,1432.56,36.23740315965125
30,65.202,163.52,43.515533234157445,21.057430536465144,0.8424113040907603,0.8773929390193809,0.03510047100378168,40.10356247297666,31.054655604121024,1432.56,36.23740315965125
30,71.202,165.06,43.59245862508321,21.13312271172579,0.8157553716586978,0.8805467796552412,0.033989807152445733,40.776262434709565,31.26941797698735,1432.56,36.23740315965125
30,77.202,167.84,42.80776202741646,21.200655730832672,0.8001624868198911,0.8833606554513616,0.03334010361749545,41.39166719722014,31.699287185694008,1432.56,36.23740315965125
35,17.202,120.56,40.886682628045655,20.363032780860227,1.053338292061533,0.8484596992025095,0.043889095502563875,36.41268866006399,30.625007041018065,1391.48,36.16867513781076
35,23.202,122.54,40.71614532094017,20.447970600623375,1.0318313487601076,0.8519987750259739,0.04299297286500449,36.69913764624273,30.62869003698577,1391.48,36.16867513781076
35,29.202,124.26,40.4221650653627,20.531338092652888,1.0069397782794083,0.8554724205272036,0.04195582409497536,37.00376713739424,30.627798302204408,1391.48,36.16867513781076
35,35.202,126.02,40.161149873773205,20.6111211705658,0.9837926455981628,0.8587967154402416,0.040991360233256786,37.359500113645424,30.716975918679356,1391.48,36.16867513781076
35,41.202,128.0,39.83896154699388,20.684661827338022,0.9568354728531072,0.8618609094724177,0.039868144702212796,37.747031349534396,30.77591429246554,1391.48,36.16867513781076
35,47.202,130.04,39.843038979250075,20.75395250075259,0.9335393509877444,0.8647480208646912,0.03889747295782269,38.03426793555818,30.770757595599886,1391.48,36.16867513781076
35,53.202,132.3,39.46491596135401,20.822624338791762,0.9206745649692273,0.8676093474496567,0.03836144020705115,38.436897343990964,30.820899656466317,1391.48,36.16867513781076
35,59.202,134.04,38.76141569833042,20.8938402377377,0.9000820416825321,0.8705766765724041,0.037503418403438835,39.190814314908174,31.06941295152117,1391.48,36.16867513781076
35,65.202,136.34,38.20493076415501,20.95817624379852,0.8747519136504491,0.8732573434916051,0.036447996402102056,39.57731438331943,31.291213055702546,1391.48,36.16867513781076
35,71.202,138.14,37.87628087683933,21.022888520672872,0.8540828318853178,0.8759536883613696,0.035586784661888235,40.3122446063128,31.542076923200426,1391.48,36.16867513781076
35,77.202,139.98,37.73348537264146,21.077453189560156,0.8309258711258217,0.8782272162316734,0.03462191129690923,40.90862959581368,31.887007285265984,1391.48,36.16867513781076
40,17.202,105.2,36.167975461443675,20.335451852548797,1.0666032915982913,0.8473104938561998,0.04444180381659547,36.372407790402406,30.568059066263583,1360.96,36.29244032150216
40,23.202,106.74,35.64038640162509,20.41003493052177,1.044473906395234,0.8504181221050736,0.04351974609980141,36.612225718271425,30.55682312334879,1360.96,36.29244032150216
40,29.202,107.86,35.32127184711727,20.48333937623554,1.0215675246102232,0.8534724740098141,0.04256531352542597,36.92425793205099,30.666496052229988,1360.96,36.29244032150216
40,35.202,109.7,35.25374491613969,20.554131695963196,1.0029913219053814,0.8564221539984664,0.0417913050793909,37.2372312768352,30.63559057025462,1360.96,36.29244032150216
40,41.202,110.44,35.17893618375076,20.624426213604533,0.9811884205796634,0.8593510922335222,0.04088285085748598,37.723598981615034,30.98712787499385,1360.96,36.29244032150216
40,47.202,112.38,34.716866453159774,20.689366072778576,0.9599646345566848,0.8620569196991071,0.03999852643986186,38.14236650459339,31.177909147902266,1360.96,36.29244032150216
40,53.202,114.08,34.374789053156086,20.75099165365689,0.9438807805941308,0.8646246522357035,0.03932836585808878,38.516727275171185,31.33988833549602,1360.96,36.29244032150216
40,59.202,115.2,33.992195983123864,20.817729435677112,0.9273459433926414,0.8674053931532129,0.038639414308026726,39.03493894821571,31.430406273512155,1360.96,36.29244032150216
40,65.202,116.56,33.87923329976037,20.877496793338047,0.909286139002406,0.8698956997224184,0.037886922458433586,39.4127946158731,31.077196528177456,1360.96,36.29244032150216
40,71.202,118.32,33.738756252556016,20.931845138549,0.8871696486077667,0.8721602141062084,0.036965402025323606,39.829143060093465,31.237551357439195,1360.96,36.29244032150216
40,77.202,120.04,33.474303272687195,20.989046488951615,0.8654278374828493,0.8745436037063173,0.03605949322845206,40.02078140859789,30.947091613061637,1360.96,36.29244032150216
45,17.202,93.82,31.67158644203195,20.310331521915046,1.0737650107951404,0.846263813413127,0.04474020878313085,36.320849836511094,30.563669064218345,1336.84,36.49789482327182
45,23.202,94.36,31.804094204414394,20.379074340397953,1.053237528624011,0.8491280975165815,0.04388489702600047,36.52202160447594,30.57496061631615,1336.84,36.49789482327182
45,29.202,95.48,31.821081447521482,20.44367011097157,1.0332556040911907,0.8518195879571487,0.04305231683713293,36.73481779897191,30.501184522785305,1336.84,36.49789482327182
45,35.202,96.8,31.929130707789433,20.505264428244942,1.0106286867246839,0.8543860178435392,0.0421095286135285,36.98373536574616,30.49593235968663,1336.84,36.49789482327182
45,41.202,97.94,31.72741684398269,20.567991284154772,0.9900671418260562,0.8569996368397821,0.04125279757608567,37.31757088718662,30.51444742561217,1336.84,36.49789482327182
45,47.202,98.96,31.05226666937733,20.626498033117613,0.9777905030118148,0.8594374180465674,0.040741270958825605,37.66581811636671,30.560518994676276,1336.84,36.49789482327182
45,53.202,100.4,31.07134646951386,20.68757405640218,0.9590965485338908,0.8619822523500911,0.03996235618891211,38.00763943253281,30.66988291601163,1336.84,36.49789482327182
45,59.202,101.14,31.12844358460603,20.74381791073864,0.935959045797018,0.8643257462807766,0.03899829357487574,38.55216247058002,31.39317973614284,1336.84,36.49789482327182
45,65.202,102.68,31.059810635847313,20.7937606641593,0.9228089759172418,0.8664066943399706,0.03845037399655173,38.82277996999116,30.9298921052728,1336.84,36.49789482327182
45,71.202,103.54,30.861249726702212,20.851414075775402,0.9055171526095567,0.868808919823975,0.03772988135873154,39.17810379556395,30.879124444793913,1336.84,36.49789482327182
45,77.202,104.98,30.172625787935253,20.907333400903966,0.8928369198531094,0.871138891704332,0.0372015383272129,39.82418011843623,31.245388407948766,1336.84,36.49789482327182
50,17.202,84.42,28.675588708082387,20.293750056412332,1.076510724163076,0.8455729190171805,0.04485461350679483,36.261986555480874,30.620033494341726,1317.54,36.42560772257868
50,23.202,85.22,28.61660000626153,20.35276837826564,1.0566797401359174,0.8480320157610683,0.04402832250566323,36.42649256689583,30.603757664690175,1317.54,36.42560772257868
50,29.202,86.04,28.32606069127358,20.412032008014247,1.0405718154241868,0.8505013336672601,0.04335715897600777,36.66503461013834,30.710679146583626,1317.54,36.42560772257868
50,35.202,86.74,28.26753383986221,20.468706357924425,1.0233609759515456,0.8528627649135175,0.04264004066464774,37.00645369193193,31.009874099236793,1317.54,36.42560772257868
50,41.202,88.06,28.338630157148977,20.52345748046105,1.0079262726857856,0.8551440616858771,0.041996928028574396,37.261916353896915,31.035608017276815,1317.54,36.42560772257868
50,47.202,89.02,28.1587989655751,20.579249604230014,0.9878718311141692,0.8574687335095836,0.04116132629642371,37.56500686991959,31.152736397238428,1317.54,36.42560772257868
50,53.202,89.8,28.001457688003693,20.635731836446688,0.9748618043858561,0.8598221598519454,0.04061924184941066,37.910255289536146,31.3112665390171,1317.54,36.42560772257868
50,59.202,90.78,28.20572383653462,20.69011122401867,0.9576307274360474,0.8620879676674444,0.03990128030983531,38.309234959166545,31.471820341483195,1317.54,36.42560772257868
50,65.202,91.4,27.95331384830859,20.74253052313885,0.9421186822347735,0.8642721051307852,0.039254945093115556,38.730059980980485,31.704802730739434,1317.54,36.42560772257868
50,71.202,92.5,27.86501720210252,20.791510054918408,0.9249849723314032,0.8663129189549337,0.03854104051380848,39.23683630785437,32.093028172036874,1317.54,36.42560772257868
50,77.202,93.74,27.630809482406796,20.838840335734957,0.9100667376868793,0.8682850139889565,0.037919447403619966,39.60719994268965,32.296313255818255,1317.54,36.42560772257868
55,17.202,76.26,26.32745908819946,20.27840625494491,1.079104499442098,0.8449335939560378,0.04496268747675407,36.23790927454561,30.707541046243403,1301.8,36.34472142567892
55,23.202,76.86,26.271743181523348,20.33425459611021,1.0626043580442033,0.8472606081712588,0.044275181585175113,36.463509617245116,30.840410263913896,1301.8,36.34472142567892
55,29.202,77.46,26.185531134890624,20.388872572857917,1.0493847248290402,0.8495363572024133,0.04372436353454335,36.75994016068895,30.979832203453366,1301.8,36.34472142567892
55,35.202,78.34,26.03342435549863,20.441278804299092,1.0367311557748227,0.8517199501791288,0.0431971314906176,36.97318088837368,30.82711972553175,1301.8,36.34472142567892
55,41.202,79.16,25.723300007295062,20.496818518590768,1.0198014169466647,0.854034104941282,0.042491725706111025,37.18846029449731,30.960021239925762,1301.8,36.34472142567892
55,47.202,79.98,25.69164876621449,20.54686879608779,1.0038729361843195,0.8561195331703244,0.04182803900767998,37.433960720672076,31.13547854940294,1301.8,36.34472142567892
55,53.202,80.62,25.46297031264925,20.600419699675108,0.9874789060508812,0.8583508208197962,0.041144954418786704,37.61646508309478,30.822566324473115,1301.8,36.34472142567892
55,59.202,81.62,25.316679989964832,20.64662166685647,0.9753752837527324,0.8602759027856862,0.04064063682303051,37.91757367058614,30.991957592846102,1301.8,36.34472142567892
55,65.202,82.16,25.33398137373788,20.69571642947605,0.96261811708364,0.8623215178948356,0.040109088211818335,38.23843424849104,31.031729790231587,1301.8,36.34472142567892
55,71.202,83.28,25.004522040002676,20.7387472701309,0.9477374659653631,0.8641144695887876,0.03948906108189014,38.55559632903024,31.125211393557716,1301.8,36.34472142567892
55,77.202,83.7,25.11382252132584,20.789089835908708,0.9323682226271907,0.8662120764961962,0.0388486759427996,38.97582663325449,31.249374709468114,1301.8,36.34472142567892
